Name,Type,Source
Pillow,Produce,Magic
Pineapple,Fruit,Plant
Pistachio,Fruit,Plant
Pizza,Produce,Conmixion Oven
Pizza Tree,Decor,Costalot's
Planky,Decor,Costalot's
Plate coral,Veggie,Plant
Plum,Fruit,Plant
Popcorn,Produce,Conmixion Oven
Popcorn Stand,Decor,Costalot's
Popsicle,Produce,Magic
Porridge,Produce,Magic
Potato,Veggie,Plant
Pumpkin,Veggie,Plant
Pumpkin Pie,Produce,Conmixion Oven
Radish,Veggie,Plant
Rainbow Cake,Produce,Conmixion Oven
Rainbow gem,Produce,Magic
Raisins,Produce,Magic
Regular Candy,Candy,Costalot's
Rhubarb,Veggie,Plant
Rice,Veggie,Plant
Rocking Chair,Decor,Costalot's
Rocky Water Perch,Decor,Costalot's
Romance Candy,Candy,Costalot's
Rope Sponge,Veggie,Plant
Rose,Veggie,Plant
Salad,Produce,Magic
Sandwich,Produce,Magic
Silver Coin,Coinage,Digging
Skull,Decor,Shop
Slushy the Snowman,Decor,Costalot's
Smoothie,Produce,Magic
Snow cone,Produce,Magic
Snow Globe,Decor,Shop
Soft coral,Veggie,Plant
Solar System,Decor,Atla's
Sour Candy,Candy,Costalot's
Spaghetti,Produce,Conmixion Oven
Sponge,Veggie,Plant
Sponge cake,Produce,Magic
Squazzil-Held Table,Decor,Costalot's
Stackable Tikki Faces,Decor,Costalot's
Stalked Sponge,Veggie,Plant
Starfruit,Fruit,Plant
Strawberry,Fruit,Plant
Strawberry shortcake,Produce,Magic
Sun-on-a-stick,Decor,Costalot's
Sushi roll,Produce,Magic
Syrup,Produce,Magic
Taco,Produce,Conmixion Oven
Taffy,Produce,Conmixion Oven
Telescope,Decor,Atla's
Toadstool,Veggie,Plant
Toast,Produce,Conmixion Oven
Toffee apple,Produce,Magic
Tomato,Veggie,Plant
Turnip,Veggie,Plant
Turnip stew,Produce,Magic
Unbread,Produce,Conmixion Oven
Vase Sponge,Veggie,Plant
Veggie Sign,Decor,Grant's
Vinegar,Produce,Magic
Walnut,Fruit,Plant
Water balloon,Produce,Magic
Water Caltrops,Fruit,Plant
Watermelon,Veggie,Plant
Wool,Produce,Costalot's
Yam,Veggie,Plant
Yam crisps,Produce,Magic
